Entries= 28894, Total sum= 12506
 fSumw[332]=16, x=26520
 fSumw[333]=10, x=26600
 fSumw[334]=18, x=26680
 fSumw[335]=18, x=26760
 fSumw[336]=5, x=26840
 fSumw[337]=18, x=26920
 fSumw[338]=12, x=27000
 fSumw[339]=8, x=27080
 fSumw[340]=8, x=27160
 fSumw[341]=9, x=27240
 fSumw[342]=10, x=27320
 fSumw[343]=12, x=27400
 fSumw[344]=10, x=27480
 fSumw[345]=14, x=27560
 fSumw[346]=7, x=27640
 fSumw[347]=10, x=27720
 fSumw[348]=11, x=27800
 fSumw[349]=15, x=27880
 fSumw[350]=14, x=27960
 fSumw[351]=2, x=28040
 fSumw[352]=15, x=28120
 fSumw[353]=9, x=28200
 fSumw[354]=13, x=28280
 fSumw[355]=8, x=28360
 fSumw[356]=12, x=28440
 fSumw[357]=9, x=28520
 fSumw[358]=5, x=28600
 fSumw[359]=12, x=28680
 fSumw[360]=14, x=28760
 fSumw[361]=15, x=28840
 fSumw[362]=12, x=28920
 fSumw[363]=6, x=29000
 fSumw[364]=16, x=29080
 fSumw[365]=10, x=29160
 fSumw[366]=8, x=29240
 fSumw[367]=8, x=29320
 fSumw[368]=11, x=29400
 fSumw[369]=6, x=29480
 fSumw[370]=7, x=29560
 fSumw[371]=9, x=29640
 fSumw[372]=9, x=29720
 fSumw[373]=9, x=29800
 fSumw[374]=8, x=29880
 fSumw[375]=12, x=29960
 fSumw[376]=13, x=30040
 fSumw[377]=10, x=30120
 fSumw[378]=9, x=30200
 fSumw[379]=18, x=30280
 fSumw[380]=7, x=30360
 fSumw[381]=19, x=30440
 fSumw[382]=7, x=30520
 fSumw[383]=9, x=30600
 fSumw[384]=11, x=30680
 fSumw[385]=11, x=30760
 fSumw[386]=10, x=30840
 fSumw[387]=13, x=30920
 fSumw[388]=10, x=31000
 fSumw[389]=8, x=31080
 fSumw[390]=19, x=31160
 fSumw[391]=12, x=31240
 fSumw[392]=13, x=31320
 fSumw[393]=11, x=31400
 fSumw[394]=16, x=31480
 fSumw[395]=13, x=31560
 fSumw[396]=8, x=31640
 fSumw[397]=15, x=31720
 fSumw[398]=17, x=31800
 fSumw[399]=10, x=31880
 fSumw[400]=6, x=31960
 fSumw[401]=14, x=32040
 fSumw[402]=19, x=32120
 fSumw[403]=15, x=32200
 fSumw[404]=8, x=32280
 fSumw[405]=13, x=32360
 fSumw[406]=9, x=32440
 fSumw[407]=10, x=32520
 fSumw[408]=12, x=32600
 fSumw[409]=9, x=32680
 fSumw[410]=14, x=32760
 fSumw[411]=9, x=32840
 fSumw[412]=6, x=32920
 fSumw[413]=14, x=33000
 fSumw[414]=11, x=33080
 fSumw[415]=7, x=33160
 fSumw[416]=13, x=33240
 fSumw[417]=17, x=33320
 fSumw[418]=9, x=33400
 fSumw[419]=14, x=33480
 fSumw[420]=7, x=33560
 fSumw[421]=11, x=33640
 fSumw[422]=11, x=33720
 fSumw[423]=10, x=33800
 fSumw[424]=8, x=33880
 fSumw[425]=7, x=33960
 fSumw[426]=12, x=34040
 fSumw[427]=4, x=34120
 fSumw[428]=7, x=34200
 fSumw[429]=14, x=34280
 fSumw[430]=11, x=34360
 fSumw[431]=11, x=34440
 fSumw[432]=11, x=34520
 fSumw[433]=12, x=34600
 fSumw[434]=12, x=34680
 fSumw[435]=11, x=34760
 fSumw[436]=7, x=34840
 fSumw[437]=11, x=34920
 fSumw[438]=13, x=35000
 fSumw[439]=9, x=35080
 fSumw[440]=15, x=35160
 fSumw[441]=9, x=35240
 fSumw[442]=14, x=35320
 fSumw[443]=12, x=35400
 fSumw[444]=7, x=35480
 fSumw[445]=11, x=35560
 fSumw[446]=7, x=35640
 fSumw[447]=8, x=35720
 fSumw[448]=9, x=35800
 fSumw[449]=13, x=35880
 fSumw[450]=9, x=35960
 fSumw[451]=9, x=36040
 fSumw[452]=11, x=36120
 fSumw[453]=9, x=36200
 fSumw[454]=7, x=36280
 fSumw[455]=10, x=36360
 fSumw[456]=5, x=36440
 fSumw[457]=8, x=36520
 fSumw[458]=10, x=36600
 fSumw[459]=9, x=36680
 fSumw[460]=12, x=36760
 fSumw[461]=14, x=36840
 fSumw[462]=8, x=36920
 fSumw[463]=13, x=37000
 fSumw[464]=8, x=37080
 fSumw[465]=6, x=37160
 fSumw[466]=10, x=37240
 fSumw[467]=12, x=37320
 fSumw[468]=16, x=37400
 fSumw[469]=4, x=37480
 fSumw[470]=10, x=37560
 fSumw[471]=4, x=37640
 fSumw[472]=7, x=37720
 fSumw[473]=8, x=37800
 fSumw[474]=11, x=37880
 fSumw[475]=9, x=37960
 fSumw[476]=8, x=38040
 fSumw[477]=7, x=38120
 fSumw[478]=7, x=38200
 fSumw[479]=6, x=38280
 fSumw[480]=8, x=38360
 fSumw[481]=6, x=38440
 fSumw[482]=8, x=38520
 fSumw[483]=11, x=38600
 fSumw[484]=10, x=38680
 fSumw[485]=7, x=38760
 fSumw[486]=8, x=38840
 fSumw[487]=4, x=38920
 fSumw[488]=8, x=39000
 fSumw[489]=10, x=39080
 fSumw[490]=16, x=39160
 fSumw[491]=8, x=39240
 fSumw[492]=15, x=39320
 fSumw[493]=7, x=39400
 fSumw[494]=6, x=39480
 fSumw[495]=9, x=39560
 fSumw[496]=6, x=39640
 fSumw[497]=8, x=39720
 fSumw[498]=11, x=39800
 fSumw[499]=11, x=39880
 fSumw[500]=11, x=39960
 fSumw[501]=16388, x=40040
