Entries= 12674, Total sum= 4796
 fSumw[0]=0, x=-40
 fSumw[1]=0, x=40
 fSumw[2]=0, x=120
 fSumw[3]=0, x=200
 fSumw[4]=0, x=280
 fSumw[5]=0, x=360
 fSumw[6]=0, x=440
 fSumw[7]=0, x=520
 fSumw[8]=0, x=600
 fSumw[9]=0, x=680
 fSumw[10]=0, x=760
 fSumw[11]=0, x=840
 fSumw[12]=0, x=920
 fSumw[13]=0, x=1000
 fSumw[14]=0, x=1080
 fSumw[15]=0, x=1160
 fSumw[16]=0, x=1240
 fSumw[17]=0, x=1320
 fSumw[18]=0, x=1400
 fSumw[19]=0, x=1480
 fSumw[20]=0, x=1560
 fSumw[21]=0, x=1640
 fSumw[22]=0, x=1720
 fSumw[23]=0, x=1800
 fSumw[24]=0, x=1880
 fSumw[25]=0, x=1960
 fSumw[26]=0, x=2040
 fSumw[27]=0, x=2120
 fSumw[28]=0, x=2200
 fSumw[29]=0, x=2280
 fSumw[30]=0, x=2360
 fSumw[31]=1, x=2440
 fSumw[32]=0, x=2520
 fSumw[33]=1, x=2600
 fSumw[34]=0, x=2680
 fSumw[35]=1, x=2760
 fSumw[36]=1, x=2840
 fSumw[37]=1, x=2920
 fSumw[38]=1, x=3000
 fSumw[39]=3, x=3080
 fSumw[40]=0, x=3160
 fSumw[41]=1, x=3240
 fSumw[42]=2, x=3320
 fSumw[43]=1, x=3400
 fSumw[44]=1, x=3480
 fSumw[45]=0, x=3560
 fSumw[46]=0, x=3640
 fSumw[47]=0, x=3720
 fSumw[48]=1, x=3800
 fSumw[49]=1, x=3880
 fSumw[50]=1, x=3960
 fSumw[51]=2, x=4040
 fSumw[52]=0, x=4120
 fSumw[53]=0, x=4200
 fSumw[54]=4, x=4280
 fSumw[55]=1, x=4360
 fSumw[56]=0, x=4440
 fSumw[57]=0, x=4520
 fSumw[58]=0, x=4600
 fSumw[59]=3, x=4680
 fSumw[60]=2, x=4760
 fSumw[61]=2, x=4840
 fSumw[62]=0, x=4920
 fSumw[63]=4, x=5000
 fSumw[64]=3, x=5080
 fSumw[65]=1, x=5160
 fSumw[66]=5, x=5240
 fSumw[67]=5, x=5320
 fSumw[68]=4, x=5400
 fSumw[69]=6, x=5480
 fSumw[70]=5, x=5560
 fSumw[71]=6, x=5640
 fSumw[72]=3, x=5720
 fSumw[73]=3, x=5800
 fSumw[74]=1, x=5880
 fSumw[75]=2, x=5960
 fSumw[76]=1, x=6040
 fSumw[77]=10, x=6120
 fSumw[78]=3, x=6200
 fSumw[79]=4, x=6280
 fSumw[80]=6, x=6360
 fSumw[81]=3, x=6440
 fSumw[82]=2, x=6520
 fSumw[83]=4, x=6600
 fSumw[84]=1, x=6680
 fSumw[85]=1, x=6760
 fSumw[86]=3, x=6840
 fSumw[87]=1, x=6920
 fSumw[88]=0, x=7000
 fSumw[89]=1, x=7080
 fSumw[90]=1, x=7160
 fSumw[91]=0, x=7240
 fSumw[92]=2, x=7320
 fSumw[93]=1, x=7400
 fSumw[94]=0, x=7480
 fSumw[95]=6, x=7560
 fSumw[96]=1, x=7640
 fSumw[97]=0, x=7720
 fSumw[98]=2, x=7800
 fSumw[99]=2, x=7880
 fSumw[100]=1, x=7960
 fSumw[101]=3, x=8040
 fSumw[102]=3, x=8120
 fSumw[103]=1, x=8200
 fSumw[104]=4, x=8280
 fSumw[105]=3, x=8360
 fSumw[106]=1, x=8440
 fSumw[107]=1, x=8520
 fSumw[108]=3, x=8600
 fSumw[109]=5, x=8680
 fSumw[110]=8, x=8760
 fSumw[111]=3, x=8840
 fSumw[112]=6, x=8920
 fSumw[113]=3, x=9000
 fSumw[114]=5, x=9080
 fSumw[115]=2, x=9160
 fSumw[116]=5, x=9240
 fSumw[117]=2, x=9320
 fSumw[118]=3, x=9400
 fSumw[119]=2, x=9480
 fSumw[120]=4, x=9560
 fSumw[121]=1, x=9640
 fSumw[122]=2, x=9720
 fSumw[123]=3, x=9800
 fSumw[124]=3, x=9880
 fSumw[125]=4, x=9960
 fSumw[126]=2, x=10040
 fSumw[127]=2, x=10120
 fSumw[128]=2, x=10200
 fSumw[129]=4, x=10280
 fSumw[130]=2, x=10360
 fSumw[131]=3, x=10440
 fSumw[132]=3, x=10520
 fSumw[133]=3, x=10600
 fSumw[134]=1, x=10680
 fSumw[135]=1, x=10760
 fSumw[136]=3, x=10840
 fSumw[137]=1, x=10920
 fSumw[138]=1, x=11000
 fSumw[139]=1, x=11080
 fSumw[140]=2, x=11160
 fSumw[141]=5, x=11240
 fSumw[142]=3, x=11320
 fSumw[143]=2, x=11400
 fSumw[144]=3, x=11480
 fSumw[145]=2, x=11560
 fSumw[146]=1, x=11640
 fSumw[147]=4, x=11720
 fSumw[148]=4, x=11800
 fSumw[149]=4, x=11880
 fSumw[150]=3, x=11960
 fSumw[151]=4, x=12040
 fSumw[152]=2, x=12120
 fSumw[153]=2, x=12200
 fSumw[154]=3, x=12280
 fSumw[155]=3, x=12360
 fSumw[156]=2, x=12440
 fSumw[157]=5, x=12520
 fSumw[158]=5, x=12600
 fSumw[159]=3, x=12680
 fSumw[160]=5, x=12760
 fSumw[161]=2, x=12840
 fSumw[162]=3, x=12920
 fSumw[163]=1, x=13000
 fSumw[164]=3, x=13080
 fSumw[165]=2, x=13160
 fSumw[166]=3, x=13240
 fSumw[167]=5, x=13320
 fSumw[168]=1, x=13400
 fSumw[169]=3, x=13480
 fSumw[170]=3, x=13560
 fSumw[171]=4, x=13640
 fSumw[172]=4, x=13720
 fSumw[173]=3, x=13800
 fSumw[174]=1, x=13880
 fSumw[175]=4, x=13960
 fSumw[176]=4, x=14040
 fSumw[177]=6, x=14120
 fSumw[178]=3, x=14200
 fSumw[179]=6, x=14280
 fSumw[180]=2, x=14360
 fSumw[181]=3, x=14440
 fSumw[182]=4, x=14520
 fSumw[183]=5, x=14600
 fSumw[184]=2, x=14680
 fSumw[185]=4, x=14760
 fSumw[186]=3, x=14840
 fSumw[187]=3, x=14920
 fSumw[188]=3, x=15000
 fSumw[189]=4, x=15080
 fSumw[190]=4, x=15160
 fSumw[191]=6, x=15240
 fSumw[192]=6, x=15320
 fSumw[193]=5, x=15400
 fSumw[194]=4, x=15480
 fSumw[195]=3, x=15560
 fSumw[196]=4, x=15640
 fSumw[197]=2, x=15720
 fSumw[198]=3, x=15800
 fSumw[199]=4, x=15880
 fSumw[200]=4, x=15960
 fSumw[201]=5, x=16040
 fSumw[202]=8, x=16120
 fSumw[203]=5, x=16200
 fSumw[204]=9, x=16280
 fSumw[205]=5, x=16360
 fSumw[206]=1, x=16440
 fSumw[207]=8, x=16520
 fSumw[208]=10, x=16600
 fSumw[209]=6, x=16680
 fSumw[210]=3, x=16760
 fSumw[211]=8, x=16840
 fSumw[212]=8, x=16920
 fSumw[213]=14, x=17000
 fSumw[214]=13, x=17080
 fSumw[215]=9, x=17160
 fSumw[216]=5, x=17240
 fSumw[217]=11, x=17320
 fSumw[218]=18, x=17400
 fSumw[219]=8, x=17480
 fSumw[220]=7, x=17560
 fSumw[221]=15, x=17640
 fSumw[222]=20, x=17720
 fSumw[223]=13, x=17800
 fSumw[224]=19, x=17880
 fSumw[225]=20, x=17960
 fSumw[226]=22, x=18040
 fSumw[227]=23, x=18120
 fSumw[228]=22, x=18200
 fSumw[229]=22, x=18280
 fSumw[230]=12, x=18360
 fSumw[231]=29, x=18440
 fSumw[232]=24, x=18520
 fSumw[233]=29, x=18600
 fSumw[234]=23, x=18680
 fSumw[235]=25, x=18760
 fSumw[236]=19, x=18840
 fSumw[237]=32, x=18920
 fSumw[238]=30, x=19000
 fSumw[239]=36, x=19080
 fSumw[240]=23, x=19160
 fSumw[241]=28, x=19240
 fSumw[242]=27, x=19320
 fSumw[243]=35, x=19400
 fSumw[244]=32, x=19480
 fSumw[245]=30, x=19560
 fSumw[246]=33, x=19640
 fSumw[247]=24, x=19720
 fSumw[248]=33, x=19800
 fSumw[249]=38, x=19880
 fSumw[250]=35, x=19960
 fSumw[251]=35, x=20040
 fSumw[252]=36, x=20120
 fSumw[253]=36, x=20200
 fSumw[254]=35, x=20280
 fSumw[255]=35, x=20360
 fSumw[256]=25, x=20440
 fSumw[257]=35, x=20520
 fSumw[258]=34, x=20600
 fSumw[259]=33, x=20680
 fSumw[260]=28, x=20760
 fSumw[261]=23, x=20840
 fSumw[262]=22, x=20920
 fSumw[263]=38, x=21000
 fSumw[264]=33, x=21080
 fSumw[265]=29, x=21160
 fSumw[266]=21, x=21240
 fSumw[267]=24, x=21320
 fSumw[268]=30, x=21400
 fSumw[269]=30, x=21480
 fSumw[270]=31, x=21560
 fSumw[271]=31, x=21640
 fSumw[272]=32, x=21720
 fSumw[273]=25, x=21800
 fSumw[274]=26, x=21880
 fSumw[275]=31, x=21960
 fSumw[276]=23, x=22040
 fSumw[277]=32, x=22120
 fSumw[278]=27, x=22200
 fSumw[279]=33, x=22280
 fSumw[280]=31, x=22360
 fSumw[281]=25, x=22440
 fSumw[282]=29, x=22520
 fSumw[283]=22, x=22600
 fSumw[284]=26, x=22680
 fSumw[285]=29, x=22760
 fSumw[286]=22, x=22840
 fSumw[287]=26, x=22920
 fSumw[288]=31, x=23000
 fSumw[289]=17, x=23080
 fSumw[290]=28, x=23160
 fSumw[291]=28, x=23240
 fSumw[292]=17, x=23320
 fSumw[293]=22, x=23400
 fSumw[294]=23, x=23480
 fSumw[295]=25, x=23560
 fSumw[296]=22, x=23640
 fSumw[297]=13, x=23720
 fSumw[298]=17, x=23800
 fSumw[299]=22, x=23880
 fSumw[300]=23, x=23960
 fSumw[301]=15, x=24040
 fSumw[302]=24, x=24120
 fSumw[303]=16, x=24200
 fSumw[304]=21, x=24280
 fSumw[305]=24, x=24360
 fSumw[306]=16, x=24440
 fSumw[307]=18, x=24520
 fSumw[308]=27, x=24600
 fSumw[309]=29, x=24680
 fSumw[310]=17, x=24760
 fSumw[311]=12, x=24840
 fSumw[312]=19, x=24920
 fSumw[313]=20, x=25000
 fSumw[314]=15, x=25080
 fSumw[315]=15, x=25160
 fSumw[316]=22, x=25240
 fSumw[317]=13, x=25320
 fSumw[318]=22, x=25400
 fSumw[319]=16, x=25480
 fSumw[320]=23, x=25560
 fSumw[321]=17, x=25640
 fSumw[322]=12, x=25720
 fSumw[323]=13, x=25800
 fSumw[324]=11, x=25880
 fSumw[325]=21, x=25960
 fSumw[326]=16, x=26040
 fSumw[327]=9, x=26120
 fSumw[328]=17, x=26200
 fSumw[329]=18, x=26280
 fSumw[330]=22, x=26360
 fSumw[331]=15, x=26440
