Entries= 26606, Total sum= 11480
 fSumw[332]=19, x=26520
 fSumw[333]=12, x=26600
 fSumw[334]=11, x=26680
 fSumw[335]=10, x=26760
 fSumw[336]=11, x=26840
 fSumw[337]=17, x=26920
 fSumw[338]=11, x=27000
 fSumw[339]=16, x=27080
 fSumw[340]=7, x=27160
 fSumw[341]=9, x=27240
 fSumw[342]=14, x=27320
 fSumw[343]=16, x=27400
 fSumw[344]=16, x=27480
 fSumw[345]=10, x=27560
 fSumw[346]=14, x=27640
 fSumw[347]=9, x=27720
 fSumw[348]=10, x=27800
 fSumw[349]=14, x=27880
 fSumw[350]=12, x=27960
 fSumw[351]=7, x=28040
 fSumw[352]=8, x=28120
 fSumw[353]=5, x=28200
 fSumw[354]=12, x=28280
 fSumw[355]=13, x=28360
 fSumw[356]=12, x=28440
 fSumw[357]=4, x=28520
 fSumw[358]=12, x=28600
 fSumw[359]=9, x=28680
 fSumw[360]=12, x=28760
 fSumw[361]=10, x=28840
 fSumw[362]=11, x=28920
 fSumw[363]=8, x=29000
 fSumw[364]=8, x=29080
 fSumw[365]=5, x=29160
 fSumw[366]=5, x=29240
 fSumw[367]=12, x=29320
 fSumw[368]=11, x=29400
 fSumw[369]=8, x=29480
 fSumw[370]=12, x=29560
 fSumw[371]=14, x=29640
 fSumw[372]=12, x=29720
 fSumw[373]=9, x=29800
 fSumw[374]=12, x=29880
 fSumw[375]=18, x=29960
 fSumw[376]=17, x=30040
 fSumw[377]=11, x=30120
 fSumw[378]=3, x=30200
 fSumw[379]=12, x=30280
 fSumw[380]=14, x=30360
 fSumw[381]=10, x=30440
 fSumw[382]=14, x=30520
 fSumw[383]=11, x=30600
 fSumw[384]=8, x=30680
 fSumw[385]=11, x=30760
 fSumw[386]=5, x=30840
 fSumw[387]=7, x=30920
 fSumw[388]=6, x=31000
 fSumw[389]=9, x=31080
 fSumw[390]=13, x=31160
 fSumw[391]=15, x=31240
 fSumw[392]=11, x=31320
 fSumw[393]=8, x=31400
 fSumw[394]=11, x=31480
 fSumw[395]=6, x=31560
 fSumw[396]=14, x=31640
 fSumw[397]=9, x=31720
 fSumw[398]=9, x=31800
 fSumw[399]=12, x=31880
 fSumw[400]=16, x=31960
 fSumw[401]=6, x=32040
 fSumw[402]=9, x=32120
 fSumw[403]=7, x=32200
 fSumw[404]=12, x=32280
 fSumw[405]=10, x=32360
 fSumw[406]=9, x=32440
 fSumw[407]=16, x=32520
 fSumw[408]=8, x=32600
 fSumw[409]=10, x=32680
 fSumw[410]=10, x=32760
 fSumw[411]=12, x=32840
 fSumw[412]=6, x=32920
 fSumw[413]=12, x=33000
 fSumw[414]=6, x=33080
 fSumw[415]=11, x=33160
 fSumw[416]=10, x=33240
 fSumw[417]=8, x=33320
 fSumw[418]=10, x=33400
 fSumw[419]=5, x=33480
 fSumw[420]=9, x=33560
 fSumw[421]=6, x=33640
 fSumw[422]=6, x=33720
 fSumw[423]=8, x=33800
 fSumw[424]=9, x=33880
 fSumw[425]=7, x=33960
 fSumw[426]=13, x=34040
 fSumw[427]=9, x=34120
 fSumw[428]=13, x=34200
 fSumw[429]=6, x=34280
 fSumw[430]=8, x=34360
 fSumw[431]=9, x=34440
 fSumw[432]=4, x=34520
 fSumw[433]=7, x=34600
 fSumw[434]=11, x=34680
 fSumw[435]=6, x=34760
 fSumw[436]=5, x=34840
 fSumw[437]=11, x=34920
 fSumw[438]=8, x=35000
 fSumw[439]=11, x=35080
 fSumw[440]=7, x=35160
 fSumw[441]=10, x=35240
 fSumw[442]=6, x=35320
 fSumw[443]=11, x=35400
 fSumw[444]=11, x=35480
