Entries= 23785, Total sum= 10108
 fSumw[0]=0, x=-40
 fSumw[1]=0, x=40
 fSumw[2]=0, x=120
 fSumw[3]=0, x=200
 fSumw[4]=0, x=280
 fSumw[5]=0, x=360
 fSumw[6]=0, x=440
 fSumw[7]=0, x=520
 fSumw[8]=0, x=600
 fSumw[9]=0, x=680
 fSumw[10]=0, x=760
 fSumw[11]=0, x=840
 fSumw[12]=0, x=920
 fSumw[13]=0, x=1000
 fSumw[14]=0, x=1080
 fSumw[15]=0, x=1160
 fSumw[16]=0, x=1240
 fSumw[17]=0, x=1320
 fSumw[18]=0, x=1400
 fSumw[19]=0, x=1480
 fSumw[20]=0, x=1560
 fSumw[21]=0, x=1640
 fSumw[22]=0, x=1720
 fSumw[23]=0, x=1800
 fSumw[24]=0, x=1880
 fSumw[25]=0, x=1960
 fSumw[26]=2, x=2040
 fSumw[27]=0, x=2120
 fSumw[28]=3, x=2200
 fSumw[29]=3, x=2280
 fSumw[30]=6, x=2360
 fSumw[31]=2, x=2440
 fSumw[32]=6, x=2520
 fSumw[33]=4, x=2600
 fSumw[34]=4, x=2680
 fSumw[35]=1, x=2760
 fSumw[36]=2, x=2840
 fSumw[37]=1, x=2920
 fSumw[38]=2, x=3000
 fSumw[39]=0, x=3080
 fSumw[40]=0, x=3160
 fSumw[41]=1, x=3240
 fSumw[42]=1, x=3320
 fSumw[43]=0, x=3400
 fSumw[44]=1, x=3480
 fSumw[45]=4, x=3560
 fSumw[46]=1, x=3640
 fSumw[47]=0, x=3720
 fSumw[48]=3, x=3800
 fSumw[49]=1, x=3880
 fSumw[50]=3, x=3960
 fSumw[51]=3, x=4040
 fSumw[52]=4, x=4120
 fSumw[53]=6, x=4200
 fSumw[54]=2, x=4280
 fSumw[55]=9, x=4360
 fSumw[56]=4, x=4440
 fSumw[57]=7, x=4520
 fSumw[58]=7, x=4600
 fSumw[59]=9, x=4680
 fSumw[60]=6, x=4760
 fSumw[61]=10, x=4840
 fSumw[62]=7, x=4920
 fSumw[63]=8, x=5000
 fSumw[64]=4, x=5080
 fSumw[65]=12, x=5160
 fSumw[66]=9, x=5240
 fSumw[67]=12, x=5320
 fSumw[68]=5, x=5400
 fSumw[69]=6, x=5480
 fSumw[70]=7, x=5560
 fSumw[71]=23, x=5640
 fSumw[72]=8, x=5720
 fSumw[73]=7, x=5800
 fSumw[74]=8, x=5880
 fSumw[75]=7, x=5960
 fSumw[76]=13, x=6040
 fSumw[77]=8, x=6120
 fSumw[78]=8, x=6200
 fSumw[79]=10, x=6280
 fSumw[80]=16, x=6360
 fSumw[81]=17, x=6440
 fSumw[82]=9, x=6520
 fSumw[83]=10, x=6600
 fSumw[84]=12, x=6680
 fSumw[85]=10, x=6760
 fSumw[86]=22, x=6840
 fSumw[87]=10, x=6920
 fSumw[88]=17, x=7000
 fSumw[89]=10, x=7080
 fSumw[90]=10, x=7160
 fSumw[91]=11, x=7240
 fSumw[92]=11, x=7320
 fSumw[93]=15, x=7400
 fSumw[94]=11, x=7480
 fSumw[95]=12, x=7560
 fSumw[96]=15, x=7640
 fSumw[97]=26, x=7720
 fSumw[98]=17, x=7800
 fSumw[99]=16, x=7880
 fSumw[100]=32, x=7960
 fSumw[101]=30, x=8040
 fSumw[102]=31, x=8120
 fSumw[103]=17, x=8200
 fSumw[104]=38, x=8280
 fSumw[105]=35, x=8360
 fSumw[106]=35, x=8440
 fSumw[107]=40, x=8520
 fSumw[108]=57, x=8600
 fSumw[109]=53, x=8680
 fSumw[110]=52, x=8760
 fSumw[111]=70, x=8840
 fSumw[112]=74, x=8920
 fSumw[113]=74, x=9000
 fSumw[114]=82, x=9080
 fSumw[115]=90, x=9160
 fSumw[116]=85, x=9240
 fSumw[117]=105, x=9320
 fSumw[118]=90, x=9400
 fSumw[119]=103, x=9480
 fSumw[120]=90, x=9560
 fSumw[121]=100, x=9640
 fSumw[122]=109, x=9720
 fSumw[123]=107, x=9800
 fSumw[124]=113, x=9880
 fSumw[125]=106, x=9960
 fSumw[126]=123, x=10040
 fSumw[127]=108, x=10120
 fSumw[128]=119, x=10200
 fSumw[129]=112, x=10280
 fSumw[130]=117, x=10360
 fSumw[131]=124, x=10440
 fSumw[132]=102, x=10520
 fSumw[133]=118, x=10600
 fSumw[134]=115, x=10680
 fSumw[135]=108, x=10760
 fSumw[136]=104, x=10840
 fSumw[137]=100, x=10920
 fSumw[138]=96, x=11000
 fSumw[139]=95, x=11080
 fSumw[140]=99, x=11160
 fSumw[141]=108, x=11240
 fSumw[142]=112, x=11320
 fSumw[143]=101, x=11400
 fSumw[144]=77, x=11480
 fSumw[145]=82, x=11560
 fSumw[146]=75, x=11640
 fSumw[147]=79, x=11720
 fSumw[148]=68, x=11800
 fSumw[149]=84, x=11880
 fSumw[150]=76, x=11960
 fSumw[151]=83, x=12040
 fSumw[152]=67, x=12120
 fSumw[153]=65, x=12200
 fSumw[154]=63, x=12280
 fSumw[155]=54, x=12360
 fSumw[156]=49, x=12440
 fSumw[157]=48, x=12520
 fSumw[158]=60, x=12600
 fSumw[159]=61, x=12680
 fSumw[160]=60, x=12760
 fSumw[161]=54, x=12840
 fSumw[162]=48, x=12920
 fSumw[163]=51, x=13000
 fSumw[164]=45, x=13080
 fSumw[165]=46, x=13160
 fSumw[166]=35, x=13240
 fSumw[167]=40, x=13320
 fSumw[168]=34, x=13400
 fSumw[169]=42, x=13480
 fSumw[170]=43, x=13560
 fSumw[171]=27, x=13640
 fSumw[172]=39, x=13720
 fSumw[173]=44, x=13800
 fSumw[174]=38, x=13880
 fSumw[175]=29, x=13960
 fSumw[176]=26, x=14040
 fSumw[177]=33, x=14120
 fSumw[178]=35, x=14200
 fSumw[179]=33, x=14280
 fSumw[180]=32, x=14360
 fSumw[181]=35, x=14440
 fSumw[182]=25, x=14520
 fSumw[183]=30, x=14600
 fSumw[184]=26, x=14680
 fSumw[185]=31, x=14760
 fSumw[186]=27, x=14840
 fSumw[187]=23, x=14920
 fSumw[188]=22, x=15000
 fSumw[189]=29, x=15080
 fSumw[190]=28, x=15160
 fSumw[191]=25, x=15240
 fSumw[192]=24, x=15320
 fSumw[193]=24, x=15400
 fSumw[194]=24, x=15480
 fSumw[195]=25, x=15560
 fSumw[196]=25, x=15640
 fSumw[197]=23, x=15720
 fSumw[198]=23, x=15800
 fSumw[199]=26, x=15880
 fSumw[200]=11, x=15960
 fSumw[201]=13, x=16040
 fSumw[202]=25, x=16120
 fSumw[203]=19, x=16200
 fSumw[204]=19, x=16280
 fSumw[205]=21, x=16360
 fSumw[206]=15, x=16440
 fSumw[207]=24, x=16520
 fSumw[208]=15, x=16600
 fSumw[209]=26, x=16680
 fSumw[210]=29, x=16760
 fSumw[211]=19, x=16840
 fSumw[212]=19, x=16920
 fSumw[213]=14, x=17000
 fSumw[214]=18, x=17080
 fSumw[215]=13, x=17160
 fSumw[216]=15, x=17240
 fSumw[217]=21, x=17320
 fSumw[218]=22, x=17400
 fSumw[219]=18, x=17480
 fSumw[220]=15, x=17560
 fSumw[221]=20, x=17640
 fSumw[222]=16, x=17720
 fSumw[223]=14, x=17800
 fSumw[224]=16, x=17880
 fSumw[225]=19, x=17960
 fSumw[226]=16, x=18040
 fSumw[227]=13, x=18120
 fSumw[228]=16, x=18200
 fSumw[229]=20, x=18280
 fSumw[230]=16, x=18360
 fSumw[231]=15, x=18440
 fSumw[232]=21, x=18520
 fSumw[233]=17, x=18600
 fSumw[234]=18, x=18680
 fSumw[235]=10, x=18760
 fSumw[236]=9, x=18840
 fSumw[237]=10, x=18920
 fSumw[238]=17, x=19000
 fSumw[239]=12, x=19080
 fSumw[240]=11, x=19160
 fSumw[241]=18, x=19240
 fSumw[242]=14, x=19320
 fSumw[243]=19, x=19400
 fSumw[244]=11, x=19480
 fSumw[245]=16, x=19560
 fSumw[246]=21, x=19640
 fSumw[247]=12, x=19720
 fSumw[248]=10, x=19800
 fSumw[249]=12, x=19880
 fSumw[250]=17, x=19960
 fSumw[251]=8, x=20040
 fSumw[252]=17, x=20120
 fSumw[253]=17, x=20200
 fSumw[254]=10, x=20280
 fSumw[255]=12, x=20360
 fSumw[256]=6, x=20440
 fSumw[257]=13, x=20520
 fSumw[258]=20, x=20600
 fSumw[259]=13, x=20680
 fSumw[260]=16, x=20760
 fSumw[261]=7, x=20840
 fSumw[262]=16, x=20920
 fSumw[263]=14, x=21000
 fSumw[264]=9, x=21080
 fSumw[265]=7, x=21160
 fSumw[266]=13, x=21240
 fSumw[267]=15, x=21320
 fSumw[268]=11, x=21400
 fSumw[269]=14, x=21480
 fSumw[270]=10, x=21560
 fSumw[271]=15, x=21640
 fSumw[272]=12, x=21720
 fSumw[273]=9, x=21800
 fSumw[274]=7, x=21880
 fSumw[275]=12, x=21960
 fSumw[276]=13, x=22040
 fSumw[277]=11, x=22120
 fSumw[278]=14, x=22200
 fSumw[279]=11, x=22280
 fSumw[280]=12, x=22360
 fSumw[281]=8, x=22440
 fSumw[282]=13, x=22520
 fSumw[283]=17, x=22600
 fSumw[284]=13, x=22680
 fSumw[285]=7, x=22760
 fSumw[286]=15, x=22840
 fSumw[287]=13, x=22920
 fSumw[288]=12, x=23000
 fSumw[289]=8, x=23080
 fSumw[290]=14, x=23160
 fSumw[291]=18, x=23240
 fSumw[292]=11, x=23320
 fSumw[293]=10, x=23400
 fSumw[294]=13, x=23480
 fSumw[295]=14, x=23560
 fSumw[296]=10, x=23640
 fSumw[297]=8, x=23720
 fSumw[298]=13, x=23800
 fSumw[299]=15, x=23880
 fSumw[300]=10, x=23960
 fSumw[301]=9, x=24040
 fSumw[302]=12, x=24120
 fSumw[303]=13, x=24200
 fSumw[304]=8, x=24280
 fSumw[305]=6, x=24360
 fSumw[306]=8, x=24440
 fSumw[307]=11, x=24520
 fSumw[308]=7, x=24600
 fSumw[309]=13, x=24680
 fSumw[310]=8, x=24760
 fSumw[311]=7, x=24840
 fSumw[312]=7, x=24920
 fSumw[313]=13, x=25000
 fSumw[314]=7, x=25080
 fSumw[315]=11, x=25160
 fSumw[316]=11, x=25240
 fSumw[317]=9, x=25320
 fSumw[318]=6, x=25400
 fSumw[319]=12, x=25480
 fSumw[320]=12, x=25560
 fSumw[321]=11, x=25640
 fSumw[322]=12, x=25720
 fSumw[323]=12, x=25800
 fSumw[324]=12, x=25880
 fSumw[325]=14, x=25960
 fSumw[326]=11, x=26040
 fSumw[327]=6, x=26120
 fSumw[328]=13, x=26200
 fSumw[329]=9, x=26280
 fSumw[330]=23, x=26360
 fSumw[331]=15, x=26440
