Entries= 16245, Total sum= 6366
 fSumw[0]=0, x=-40
 fSumw[1]=0, x=40
 fSumw[2]=0, x=120
 fSumw[3]=0, x=200
 fSumw[4]=0, x=280
 fSumw[5]=0, x=360
 fSumw[6]=0, x=440
 fSumw[7]=0, x=520
 fSumw[8]=0, x=600
 fSumw[9]=0, x=680
 fSumw[10]=0, x=760
 fSumw[11]=0, x=840
 fSumw[12]=0, x=920
 fSumw[13]=0, x=1000
 fSumw[14]=0, x=1080
 fSumw[15]=0, x=1160
 fSumw[16]=0, x=1240
 fSumw[17]=0, x=1320
 fSumw[18]=0, x=1400
 fSumw[19]=0, x=1480
 fSumw[20]=0, x=1560
 fSumw[21]=0, x=1640
 fSumw[22]=0, x=1720
 fSumw[23]=0, x=1800
 fSumw[24]=0, x=1880
 fSumw[25]=0, x=1960
 fSumw[26]=0, x=2040
 fSumw[27]=0, x=2120
 fSumw[28]=0, x=2200
 fSumw[29]=0, x=2280
 fSumw[30]=0, x=2360
 fSumw[31]=2, x=2440
 fSumw[32]=1, x=2520
 fSumw[33]=2, x=2600
 fSumw[34]=3, x=2680
 fSumw[35]=1, x=2760
 fSumw[36]=2, x=2840
 fSumw[37]=2, x=2920
 fSumw[38]=3, x=3000
 fSumw[39]=1, x=3080
 fSumw[40]=1, x=3160
 fSumw[41]=1, x=3240
 fSumw[42]=1, x=3320
 fSumw[43]=5, x=3400
 fSumw[44]=0, x=3480
 fSumw[45]=0, x=3560
 fSumw[46]=0, x=3640
 fSumw[47]=0, x=3720
 fSumw[48]=1, x=3800
 fSumw[49]=0, x=3880
 fSumw[50]=0, x=3960
 fSumw[51]=1, x=4040
 fSumw[52]=0, x=4120
 fSumw[53]=2, x=4200
 fSumw[54]=3, x=4280
 fSumw[55]=2, x=4360
 fSumw[56]=3, x=4440
 fSumw[57]=3, x=4520
 fSumw[58]=6, x=4600
 fSumw[59]=3, x=4680
 fSumw[60]=4, x=4760
 fSumw[61]=2, x=4840
 fSumw[62]=4, x=4920
 fSumw[63]=6, x=5000
 fSumw[64]=2, x=5080
 fSumw[65]=5, x=5160
 fSumw[66]=4, x=5240
 fSumw[67]=5, x=5320
 fSumw[68]=2, x=5400
 fSumw[69]=3, x=5480
 fSumw[70]=1, x=5560
 fSumw[71]=2, x=5640
 fSumw[72]=3, x=5720
 fSumw[73]=1, x=5800
 fSumw[74]=3, x=5880
 fSumw[75]=1, x=5960
 fSumw[76]=3, x=6040
 fSumw[77]=1, x=6120
 fSumw[78]=2, x=6200
 fSumw[79]=1, x=6280
 fSumw[80]=2, x=6360
 fSumw[81]=4, x=6440
 fSumw[82]=2, x=6520
 fSumw[83]=1, x=6600
 fSumw[84]=3, x=6680
 fSumw[85]=2, x=6760
 fSumw[86]=5, x=6840
 fSumw[87]=2, x=6920
 fSumw[88]=2, x=7000
 fSumw[89]=4, x=7080
 fSumw[90]=2, x=7160
 fSumw[91]=4, x=7240
 fSumw[92]=2, x=7320
 fSumw[93]=4, x=7400
 fSumw[94]=6, x=7480
 fSumw[95]=3, x=7560
 fSumw[96]=7, x=7640
 fSumw[97]=4, x=7720
 fSumw[98]=3, x=7800
 fSumw[99]=3, x=7880
 fSumw[100]=7, x=7960
 fSumw[101]=7, x=8040
 fSumw[102]=2, x=8120
 fSumw[103]=6, x=8200
 fSumw[104]=1, x=8280
 fSumw[105]=3, x=8360
 fSumw[106]=5, x=8440
 fSumw[107]=3, x=8520
 fSumw[108]=7, x=8600
 fSumw[109]=5, x=8680
 fSumw[110]=6, x=8760
 fSumw[111]=5, x=8840
 fSumw[112]=2, x=8920
 fSumw[113]=5, x=9000
 fSumw[114]=4, x=9080
 fSumw[115]=1, x=9160
 fSumw[116]=3, x=9240
 fSumw[117]=4, x=9320
 fSumw[118]=3, x=9400
 fSumw[119]=2, x=9480
 fSumw[120]=2, x=9560
 fSumw[121]=4, x=9640
 fSumw[122]=4, x=9720
 fSumw[123]=4, x=9800
 fSumw[124]=2, x=9880
 fSumw[125]=6, x=9960
 fSumw[126]=6, x=10040
 fSumw[127]=8, x=10120
 fSumw[128]=3, x=10200
 fSumw[129]=5, x=10280
 fSumw[130]=4, x=10360
 fSumw[131]=5, x=10440
 fSumw[132]=11, x=10520
 fSumw[133]=5, x=10600
 fSumw[134]=5, x=10680
 fSumw[135]=2, x=10760
 fSumw[136]=5, x=10840
 fSumw[137]=8, x=10920
 fSumw[138]=3, x=11000
 fSumw[139]=3, x=11080
 fSumw[140]=5, x=11160
 fSumw[141]=4, x=11240
 fSumw[142]=5, x=11320
 fSumw[143]=6, x=11400
 fSumw[144]=2, x=11480
 fSumw[145]=4, x=11560
 fSumw[146]=3, x=11640
 fSumw[147]=1, x=11720
 fSumw[148]=4, x=11800
 fSumw[149]=1, x=11880
 fSumw[150]=4, x=11960
 fSumw[151]=6, x=12040
 fSumw[152]=8, x=12120
 fSumw[153]=6, x=12200
 fSumw[154]=5, x=12280
 fSumw[155]=6, x=12360
 fSumw[156]=11, x=12440
 fSumw[157]=8, x=12520
 fSumw[158]=9, x=12600
 fSumw[159]=2, x=12680
 fSumw[160]=18, x=12760
 fSumw[161]=11, x=12840
 fSumw[162]=12, x=12920
 fSumw[163]=4, x=13000
 fSumw[164]=9, x=13080
 fSumw[165]=6, x=13160
 fSumw[166]=10, x=13240
 fSumw[167]=7, x=13320
 fSumw[168]=4, x=13400
 fSumw[169]=10, x=13480
 fSumw[170]=13, x=13560
 fSumw[171]=22, x=13640
 fSumw[172]=12, x=13720
 fSumw[173]=23, x=13800
 fSumw[174]=30, x=13880
 fSumw[175]=25, x=13960
 fSumw[176]=25, x=14040
 fSumw[177]=32, x=14120
 fSumw[178]=19, x=14200
 fSumw[179]=21, x=14280
 fSumw[180]=23, x=14360
 fSumw[181]=36, x=14440
 fSumw[182]=27, x=14520
 fSumw[183]=29, x=14600
 fSumw[184]=26, x=14680
 fSumw[185]=43, x=14760
 fSumw[186]=34, x=14840
 fSumw[187]=30, x=14920
 fSumw[188]=42, x=15000
 fSumw[189]=43, x=15080
 fSumw[190]=35, x=15160
 fSumw[191]=45, x=15240
 fSumw[192]=43, x=15320
 fSumw[193]=39, x=15400
 fSumw[194]=50, x=15480
 fSumw[195]=37, x=15560
 fSumw[196]=41, x=15640
 fSumw[197]=45, x=15720
 fSumw[198]=44, x=15800
 fSumw[199]=39, x=15880
 fSumw[200]=47, x=15960
 fSumw[201]=51, x=16040
 fSumw[202]=45, x=16120
 fSumw[203]=54, x=16200
 fSumw[204]=49, x=16280
 fSumw[205]=41, x=16360
 fSumw[206]=47, x=16440
 fSumw[207]=57, x=16520
 fSumw[208]=43, x=16600
 fSumw[209]=53, x=16680
 fSumw[210]=45, x=16760
 fSumw[211]=53, x=16840
 fSumw[212]=47, x=16920
 fSumw[213]=47, x=17000
 fSumw[214]=49, x=17080
 fSumw[215]=50, x=17160
 fSumw[216]=48, x=17240
 fSumw[217]=57, x=17320
 fSumw[218]=46, x=17400
 fSumw[219]=52, x=17480
 fSumw[220]=43, x=17560
 fSumw[221]=44, x=17640
 fSumw[222]=51, x=17720
 fSumw[223]=42, x=17800
 fSumw[224]=41, x=17880
 fSumw[225]=44, x=17960
 fSumw[226]=49, x=18040
 fSumw[227]=40, x=18120
 fSumw[228]=53, x=18200
 fSumw[229]=41, x=18280
 fSumw[230]=31, x=18360
 fSumw[231]=39, x=18440
 fSumw[232]=54, x=18520
 fSumw[233]=37, x=18600
 fSumw[234]=39, x=18680
 fSumw[235]=41, x=18760
 fSumw[236]=38, x=18840
 fSumw[237]=37, x=18920
 fSumw[238]=43, x=19000
 fSumw[239]=25, x=19080
 fSumw[240]=35, x=19160
 fSumw[241]=25, x=19240
 fSumw[242]=27, x=19320
 fSumw[243]=34, x=19400
 fSumw[244]=25, x=19480
 fSumw[245]=30, x=19560
 fSumw[246]=37, x=19640
 fSumw[247]=32, x=19720
 fSumw[248]=26, x=19800
 fSumw[249]=21, x=19880
 fSumw[250]=25, x=19960
 fSumw[251]=26, x=20040
 fSumw[252]=30, x=20120
 fSumw[253]=21, x=20200
 fSumw[254]=22, x=20280
 fSumw[255]=28, x=20360
 fSumw[256]=23, x=20440
 fSumw[257]=25, x=20520
 fSumw[258]=38, x=20600
 fSumw[259]=25, x=20680
 fSumw[260]=18, x=20760
 fSumw[261]=24, x=20840
 fSumw[262]=25, x=20920
 fSumw[263]=27, x=21000
 fSumw[264]=30, x=21080
 fSumw[265]=28, x=21160
 fSumw[266]=32, x=21240
 fSumw[267]=22, x=21320
 fSumw[268]=22, x=21400
 fSumw[269]=21, x=21480
 fSumw[270]=20, x=21560
 fSumw[271]=26, x=21640
 fSumw[272]=21, x=21720
 fSumw[273]=20, x=21800
 fSumw[274]=15, x=21880
 fSumw[275]=17, x=21960
 fSumw[276]=13, x=22040
 fSumw[277]=12, x=22120
 fSumw[278]=13, x=22200
 fSumw[279]=12, x=22280
 fSumw[280]=16, x=22360
 fSumw[281]=13, x=22440
 fSumw[282]=22, x=22520
 fSumw[283]=24, x=22600
 fSumw[284]=15, x=22680
 fSumw[285]=28, x=22760
 fSumw[286]=18, x=22840
 fSumw[287]=12, x=22920
 fSumw[288]=14, x=23000
 fSumw[289]=8, x=23080
 fSumw[290]=11, x=23160
 fSumw[291]=10, x=23240
 fSumw[292]=18, x=23320
 fSumw[293]=19, x=23400
 fSumw[294]=19, x=23480
 fSumw[295]=10, x=23560
 fSumw[296]=18, x=23640
 fSumw[297]=18, x=23720
 fSumw[298]=12, x=23800
 fSumw[299]=12, x=23880
 fSumw[300]=13, x=23960
 fSumw[301]=11, x=24040
 fSumw[302]=20, x=24120
 fSumw[303]=11, x=24200
 fSumw[304]=14, x=24280
 fSumw[305]=12, x=24360
 fSumw[306]=6, x=24440
 fSumw[307]=19, x=24520
 fSumw[308]=8, x=24600
 fSumw[309]=16, x=24680
 fSumw[310]=16, x=24760
 fSumw[311]=14, x=24840
 fSumw[312]=16, x=24920
 fSumw[313]=11, x=25000
 fSumw[314]=14, x=25080
 fSumw[315]=14, x=25160
 fSumw[316]=9, x=25240
 fSumw[317]=8, x=25320
 fSumw[318]=15, x=25400
 fSumw[319]=10, x=25480
 fSumw[320]=11, x=25560
 fSumw[321]=16, x=25640
 fSumw[322]=10, x=25720
 fSumw[323]=14, x=25800
 fSumw[324]=9, x=25880
 fSumw[325]=15, x=25960
 fSumw[326]=14, x=26040
 fSumw[327]=13, x=26120
 fSumw[328]=14, x=26200
 fSumw[329]=12, x=26280
 fSumw[330]=6, x=26360
 fSumw[331]=6, x=26440
