Entries= 50527, Total sum= 24000
 fSumw[0]=0, x=-40
 fSumw[1]=0, x=40
 fSumw[2]=0, x=120
 fSumw[3]=0, x=200
 fSumw[4]=0, x=280
 fSumw[5]=0, x=360
 fSumw[6]=0, x=440
 fSumw[7]=0, x=520
 fSumw[8]=0, x=600
 fSumw[9]=0, x=680
 fSumw[10]=0, x=760
 fSumw[11]=0, x=840
 fSumw[12]=0, x=920
 fSumw[13]=0, x=1000
 fSumw[14]=0, x=1080
 fSumw[15]=0, x=1160
 fSumw[16]=0, x=1240
 fSumw[17]=0, x=1320
 fSumw[18]=0, x=1400
 fSumw[19]=0, x=1480
 fSumw[20]=1, x=1560
 fSumw[21]=0, x=1640
 fSumw[22]=5, x=1720
 fSumw[23]=3, x=1800
 fSumw[24]=6, x=1880
 fSumw[25]=19, x=1960
 fSumw[26]=22, x=2040
 fSumw[27]=18, x=2120
 fSumw[28]=28, x=2200
 fSumw[29]=21, x=2280
 fSumw[30]=12, x=2360
 fSumw[31]=11, x=2440
 fSumw[32]=14, x=2520
 fSumw[33]=7, x=2600
 fSumw[34]=2, x=2680
 fSumw[35]=1, x=2760
 fSumw[36]=4, x=2840
 fSumw[37]=3, x=2920
 fSumw[38]=17, x=3000
 fSumw[39]=22, x=3080
 fSumw[40]=33, x=3160
 fSumw[41]=55, x=3240
 fSumw[42]=97, x=3320
 fSumw[43]=136, x=3400
 fSumw[44]=183, x=3480
 fSumw[45]=268, x=3560
 fSumw[46]=303, x=3640
 fSumw[47]=386, x=3720
 fSumw[48]=442, x=3800
 fSumw[49]=492, x=3880
 fSumw[50]=562, x=3960
 fSumw[51]=696, x=4040
 fSumw[52]=707, x=4120
 fSumw[53]=761, x=4200
 fSumw[54]=759, x=4280
 fSumw[55]=720, x=4360
 fSumw[56]=676, x=4440
 fSumw[57]=643, x=4520
 fSumw[58]=542, x=4600
 fSumw[59]=443, x=4680
 fSumw[60]=401, x=4760
 fSumw[61]=363, x=4840
 fSumw[62]=311, x=4920
 fSumw[63]=244, x=5000
 fSumw[64]=224, x=5080
 fSumw[65]=200, x=5160
 fSumw[66]=203, x=5240
 fSumw[67]=176, x=5320
 fSumw[68]=178, x=5400
 fSumw[69]=178, x=5480
 fSumw[70]=159, x=5560
 fSumw[71]=145, x=5640
 fSumw[72]=140, x=5720
 fSumw[73]=123, x=5800
 fSumw[74]=129, x=5880
 fSumw[75]=146, x=5960
 fSumw[76]=151, x=6040
 fSumw[77]=115, x=6120
 fSumw[78]=130, x=6200
 fSumw[79]=112, x=6280
 fSumw[80]=99, x=6360
 fSumw[81]=108, x=6440
 fSumw[82]=94, x=6520
 fSumw[83]=98, x=6600
 fSumw[84]=74, x=6680
 fSumw[85]=89, x=6760
 fSumw[86]=92, x=6840
 fSumw[87]=88, x=6920
 fSumw[88]=84, x=7000
 fSumw[89]=57, x=7080
 fSumw[90]=59, x=7160
 fSumw[91]=51, x=7240
 fSumw[92]=55, x=7320
 fSumw[93]=73, x=7400
 fSumw[94]=71, x=7480
 fSumw[95]=65, x=7560
 fSumw[96]=50, x=7640
 fSumw[97]=58, x=7720
 fSumw[98]=54, x=7800
 fSumw[99]=52, x=7880
 fSumw[100]=40, x=7960
 fSumw[101]=49, x=8040
 fSumw[102]=52, x=8120
 fSumw[103]=43, x=8200
 fSumw[104]=40, x=8280
 fSumw[105]=53, x=8360
 fSumw[106]=52, x=8440
 fSumw[107]=56, x=8520
 fSumw[108]=58, x=8600
 fSumw[109]=45, x=8680
 fSumw[110]=46, x=8760
 fSumw[111]=43, x=8840
 fSumw[112]=47, x=8920
 fSumw[113]=43, x=9000
 fSumw[114]=48, x=9080
 fSumw[115]=39, x=9160
 fSumw[116]=53, x=9240
 fSumw[117]=45, x=9320
 fSumw[118]=34, x=9400
 fSumw[119]=39, x=9480
 fSumw[120]=50, x=9560
 fSumw[121]=51, x=9640
 fSumw[122]=35, x=9720
 fSumw[123]=49, x=9800
 fSumw[124]=34, x=9880
 fSumw[125]=48, x=9960
 fSumw[126]=46, x=10040
 fSumw[127]=32, x=10120
 fSumw[128]=43, x=10200
 fSumw[129]=21, x=10280
 fSumw[130]=37, x=10360
 fSumw[131]=43, x=10440
 fSumw[132]=39, x=10520
 fSumw[133]=28, x=10600
 fSumw[134]=35, x=10680
 fSumw[135]=36, x=10760
 fSumw[136]=35, x=10840
 fSumw[137]=28, x=10920
 fSumw[138]=32, x=11000
 fSumw[139]=37, x=11080
 fSumw[140]=29, x=11160
 fSumw[141]=35, x=11240
 fSumw[142]=22, x=11320
 fSumw[143]=26, x=11400
 fSumw[144]=34, x=11480
 fSumw[145]=36, x=11560
 fSumw[146]=37, x=11640
 fSumw[147]=34, x=11720
 fSumw[148]=30, x=11800
 fSumw[149]=38, x=11880
 fSumw[150]=25, x=11960
 fSumw[151]=32, x=12040
 fSumw[152]=41, x=12120
 fSumw[153]=36, x=12200
 fSumw[154]=28, x=12280
 fSumw[155]=28, x=12360
 fSumw[156]=37, x=12440
 fSumw[157]=29, x=12520
 fSumw[158]=43, x=12600
 fSumw[159]=30, x=12680
 fSumw[160]=23, x=12760
 fSumw[161]=27, x=12840
 fSumw[162]=26, x=12920
 fSumw[163]=36, x=13000
 fSumw[164]=38, x=13080
 fSumw[165]=27, x=13160
 fSumw[166]=36, x=13240
 fSumw[167]=36, x=13320
 fSumw[168]=27, x=13400
 fSumw[169]=37, x=13480
 fSumw[170]=36, x=13560
 fSumw[171]=29, x=13640
 fSumw[172]=40, x=13720
 fSumw[173]=23, x=13800
 fSumw[174]=17, x=13880
 fSumw[175]=34, x=13960
 fSumw[176]=28, x=14040
 fSumw[177]=30, x=14120
 fSumw[178]=27, x=14200
 fSumw[179]=34, x=14280
 fSumw[180]=20, x=14360
 fSumw[181]=27, x=14440
 fSumw[182]=29, x=14520
 fSumw[183]=41, x=14600
 fSumw[184]=28, x=14680
 fSumw[185]=24, x=14760
 fSumw[186]=34, x=14840
 fSumw[187]=21, x=14920
 fSumw[188]=31, x=15000
 fSumw[189]=17, x=15080
 fSumw[190]=26, x=15160
 fSumw[191]=30, x=15240
 fSumw[192]=22, x=15320
 fSumw[193]=24, x=15400
 fSumw[194]=21, x=15480
 fSumw[195]=32, x=15560
 fSumw[196]=25, x=15640
 fSumw[197]=23, x=15720
 fSumw[198]=36, x=15800
 fSumw[199]=32, x=15880
 fSumw[200]=20, x=15960
 fSumw[201]=25, x=16040
 fSumw[202]=30, x=16120
 fSumw[203]=24, x=16200
 fSumw[204]=28, x=16280
 fSumw[205]=20, x=16360
 fSumw[206]=32, x=16440
 fSumw[207]=20, x=16520
 fSumw[208]=28, x=16600
 fSumw[209]=20, x=16680
 fSumw[210]=25, x=16760
 fSumw[211]=36, x=16840
 fSumw[212]=38, x=16920
 fSumw[213]=28, x=17000
 fSumw[214]=27, x=17080
 fSumw[215]=30, x=17160
 fSumw[216]=24, x=17240
 fSumw[217]=28, x=17320
 fSumw[218]=32, x=17400
 fSumw[219]=29, x=17480
 fSumw[220]=25, x=17560
 fSumw[221]=26, x=17640
 fSumw[222]=27, x=17720
 fSumw[223]=26, x=17800
 fSumw[224]=26, x=17880
 fSumw[225]=26, x=17960
 fSumw[226]=31, x=18040
 fSumw[227]=19, x=18120
 fSumw[228]=23, x=18200
 fSumw[229]=22, x=18280
 fSumw[230]=24, x=18360
 fSumw[231]=24, x=18440
 fSumw[232]=21, x=18520
 fSumw[233]=27, x=18600
 fSumw[234]=23, x=18680
 fSumw[235]=18, x=18760
 fSumw[236]=34, x=18840
 fSumw[237]=28, x=18920
 fSumw[238]=18, x=19000
 fSumw[239]=28, x=19080
 fSumw[240]=29, x=19160
 fSumw[241]=28, x=19240
 fSumw[242]=23, x=19320
 fSumw[243]=24, x=19400
 fSumw[244]=22, x=19480
 fSumw[245]=28, x=19560
 fSumw[246]=18, x=19640
 fSumw[247]=12, x=19720
 fSumw[248]=17, x=19800
 fSumw[249]=29, x=19880
 fSumw[250]=27, x=19960
 fSumw[251]=17, x=20040
 fSumw[252]=26, x=20120
 fSumw[253]=24, x=20200
 fSumw[254]=29, x=20280
 fSumw[255]=24, x=20360
 fSumw[256]=26, x=20440
 fSumw[257]=27, x=20520
 fSumw[258]=23, x=20600
 fSumw[259]=32, x=20680
 fSumw[260]=31, x=20760
 fSumw[261]=25, x=20840
 fSumw[262]=19, x=20920
 fSumw[263]=13, x=21000
 fSumw[264]=33, x=21080
 fSumw[265]=18, x=21160
 fSumw[266]=23, x=21240
 fSumw[267]=29, x=21320
 fSumw[268]=26, x=21400
 fSumw[269]=24, x=21480
 fSumw[270]=24, x=21560
 fSumw[271]=17, x=21640
 fSumw[272]=26, x=21720
 fSumw[273]=16, x=21800
 fSumw[274]=24, x=21880
 fSumw[275]=27, x=21960
 fSumw[276]=25, x=22040
 fSumw[277]=29, x=22120
 fSumw[278]=17, x=22200
 fSumw[279]=26, x=22280
 fSumw[280]=20, x=22360
 fSumw[281]=23, x=22440
 fSumw[282]=28, x=22520
 fSumw[283]=29, x=22600
 fSumw[284]=28, x=22680
 fSumw[285]=21, x=22760
 fSumw[286]=19, x=22840
 fSumw[287]=17, x=22920
 fSumw[288]=24, x=23000
 fSumw[289]=28, x=23080
 fSumw[290]=28, x=23160
 fSumw[291]=17, x=23240
 fSumw[292]=20, x=23320
 fSumw[293]=24, x=23400
 fSumw[294]=23, x=23480
 fSumw[295]=25, x=23560
 fSumw[296]=17, x=23640
 fSumw[297]=17, x=23720
 fSumw[298]=22, x=23800
 fSumw[299]=26, x=23880
 fSumw[300]=23, x=23960
 fSumw[301]=27, x=24040
 fSumw[302]=21, x=24120
 fSumw[303]=20, x=24200
 fSumw[304]=25, x=24280
 fSumw[305]=17, x=24360
 fSumw[306]=26, x=24440
 fSumw[307]=20, x=24520
 fSumw[308]=21, x=24600
 fSumw[309]=25, x=24680
 fSumw[310]=24, x=24760
 fSumw[311]=14, x=24840
 fSumw[312]=23, x=24920
 fSumw[313]=25, x=25000
 fSumw[314]=20, x=25080
 fSumw[315]=22, x=25160
 fSumw[316]=20, x=25240
 fSumw[317]=22, x=25320
 fSumw[318]=22, x=25400
 fSumw[319]=27, x=25480
 fSumw[320]=24, x=25560
 fSumw[321]=23, x=25640
 fSumw[322]=22, x=25720
 fSumw[323]=12, x=25800
 fSumw[324]=22, x=25880
 fSumw[325]=16, x=25960
 fSumw[326]=24, x=26040
 fSumw[327]=14, x=26120
 fSumw[328]=14, x=26200
 fSumw[329]=15, x=26280
 fSumw[330]=26, x=26360
 fSumw[331]=22, x=26440
