Entries= 50527, Total sum= 24000,,,,,,,,,,,
 fSumw[82]=94, x=6520,]=94,94,94,,,,,,,83,94
 fSumw[83]=98, x=6600,]=98,98,98,,,,,,,84,98
 fSumw[84]=74, x=6680,]=74,74,74,,,,,,,85,74
 fSumw[85]=89, x=6760,]=89,89,89,,,,,,,86,89
 fSumw[86]=92, x=6840,]=92,92,92,,,,,,,87,92
 fSumw[87]=88, x=6920,]=88,88,88,,,,,,,88,88
 fSumw[88]=84, x=7000,]=84,84,84,,,,,,,89,84
 fSumw[89]=57, x=7080,]=57,57,57,,,,,,,90,57
 fSumw[90]=59, x=7160,]=59,59,59,,,,,,,91,59
 fSumw[91]=51, x=7240,]=51,51,51,,,,,,,92,51
 fSumw[92]=55, x=7320,]=55,55,55,,,,,,,93,55
 fSumw[93]=73, x=7400,]=73,73,73,,,,,,,94,73
 fSumw[94]=71, x=7480,]=71,71,71,,,,,,,95,71
 fSumw[95]=65, x=7560,]=65,65,65,,,,,,,96,65
 fSumw[96]=50, x=7640,]=50,50,50,,,,,,,97,50
 fSumw[97]=58, x=7720,]=58,58,58,,,,,,,98,58
 fSumw[98]=54, x=7800,]=54,54,54,,,,,,,99,54
 fSumw[99]=52, x=7880,]=52,52,52,,,,,,,100,52
 fSumw[100]=40, x=7960,0]=40,=40,40,,,,,,,101,40
 fSumw[101]=49, x=8040,1]=49,=49,49,,,,,,,102,49
 fSumw[102]=52, x=8120,2]=52,=52,52,,,,,,,103,52
 fSumw[103]=43, x=8200,3]=43,=43,43,,,,,,,104,43
 fSumw[104]=40, x=8280,4]=40,=40,40,,,,,,,105,40
 fSumw[105]=53, x=8360,5]=53,=53,53,,,,,,,106,53
 fSumw[106]=52, x=8440,6]=52,=52,52,,,,,,,107,52
 fSumw[107]=56, x=8520,7]=56,=56,56,,,,,,,108,56
 fSumw[108]=58, x=8600,8]=58,=58,58,,,,,,,109,58
 fSumw[109]=45, x=8680,9]=45,=45,45,,,,,,,110,45
 fSumw[110]=46, x=8760,0]=46,=46,46,,,,,,,111,46
 fSumw[111]=43, x=8840,1]=43,=43,43,,,,,,,112,43
 fSumw[112]=47, x=8920,2]=47,=47,47,,,,,,,113,47
 fSumw[113]=43, x=9000,3]=43,=43,43,,,,,,,114,43
 fSumw[114]=48, x=9080,4]=48,=48,48,,,,,,,115,48
 fSumw[115]=39, x=9160,5]=39,=39,39,,,,,,,116,39
 fSumw[116]=53, x=9240,6]=53,=53,53,,,,,,,117,53
 fSumw[117]=45, x=9320,7]=45,=45,45,,,,,,,118,45
 fSumw[118]=34, x=9400,8]=34,=34,34,,,,,,,119,34
 fSumw[119]=39, x=9480,9]=39,=39,39,,,,,,,120,39
 fSumw[120]=50, x=9560,0]=50,=50,50,,,,,,,121,50
 fSumw[121]=51, x=9640,1]=51,=51,51,,,,,,,122,51
 fSumw[122]=35, x=9720,2]=35,=35,35,,,,,,,123,35
 fSumw[123]=49, x=9800,3]=49,=49,49,,,,,,,124,49
 fSumw[124]=34, x=9880,4]=34,=34,34,,,,,,,125,34
 fSumw[125]=48, x=9960,5]=48,=48,48,,,,,,,126,48
 fSumw[126]=46, x=10040,6]=46,=46,46,,,,,,,127,46
 fSumw[127]=32, x=10120,7]=32,=32,32,,,,,,,128,32
 fSumw[128]=43, x=10200,8]=43,=43,43,,,,,,,129,43
 fSumw[129]=21, x=10280,9]=21,=21,21,,,,,,,130,21
 fSumw[130]=37, x=10360,0]=37,=37,37,,,,,,,131,37
 fSumw[131]=43, x=10440,1]=43,=43,43,,,,,,,132,43
 fSumw[132]=39, x=10520,2]=39,=39,39,,,,,,,133,39
 fSumw[133]=28, x=10600,3]=28,=28,28,,,,,,,134,28
 fSumw[134]=35, x=10680,4]=35,=35,35,,,,,,,135,35
 fSumw[135]=36, x=10760,5]=36,=36,36,,,,,,,136,36
 fSumw[136]=35, x=10840,6]=35,=35,35,,,,,,,137,35
 fSumw[137]=28, x=10920,7]=28,=28,28,,,,,,,138,28
 fSumw[138]=32, x=11000,8]=32,=32,32,,,,,,,139,32
 fSumw[139]=37, x=11080,9]=37,=37,37,,,,,,,140,37
 fSumw[140]=29, x=11160,0]=29,=29,29,,,,,,,141,29
 fSumw[141]=35, x=11240,1]=35,=35,35,,,,,,,142,35
 fSumw[142]=22, x=11320,2]=22,=22,22,,,,,,,143,22
 fSumw[143]=26, x=11400,3]=26,=26,26,,,,,,,144,26
 fSumw[144]=34, x=11480,4]=34,=34,34,,,,,,,145,34
 fSumw[145]=36, x=11560,5]=36,=36,36,,,,,,,146,36
 fSumw[146]=37, x=11640,6]=37,=37,37,,,,,,,147,37
 fSumw[147]=34, x=11720,7]=34,=34,34,,,,,,,148,34
 fSumw[148]=30, x=11800,8]=30,=30,30,,,,,,,149,30
 fSumw[149]=38, x=11880,9]=38,=38,38,,,,,,,150,38
 fSumw[150]=25, x=11960,0]=25,=25,25,,,,,,,151,25
 fSumw[151]=32, x=12040,1]=32,=32,32,,,,,,,152,32
 fSumw[152]=41, x=12120,2]=41,=41,41,,,,,,,153,41
 fSumw[153]=36, x=12200,3]=36,=36,36,,,,,,,154,36
 fSumw[154]=28, x=12280,4]=28,=28,28,,,,,,,155,28
 fSumw[155]=28, x=12360,5]=28,=28,28,,,,,,,156,28
 fSumw[156]=37, x=12440,6]=37,=37,37,,,,,,,157,37
 fSumw[157]=29, x=12520,7]=29,=29,29,,,,,,,158,29
 fSumw[158]=43, x=12600,8]=43,=43,43,,,,,,,159,43
 fSumw[159]=30, x=12680,9]=30,=30,30,,,,,,,160,30
 fSumw[160]=23, x=12760,0]=23,=23,23,,,,,,,161,23
 fSumw[161]=27, x=12840,1]=27,=27,27,,,,,,,162,27
 fSumw[162]=26, x=12920,2]=26,=26,26,,,,,,,163,26
 fSumw[163]=36, x=13000,3]=36,=36,36,,,,,,,164,36
 fSumw[164]=38, x=13080,4]=38,=38,38,,,,,,,165,38
 fSumw[165]=27, x=13160,5]=27,=27,27,,,,,,,166,27
 fSumw[166]=36, x=13240,6]=36,=36,36,,,,,,,167,36
 fSumw[167]=36, x=13320,7]=36,=36,36,,,,,,,168,36
 fSumw[168]=27, x=13400,8]=27,=27,27,,,,,,,169,27
 fSumw[169]=37, x=13480,9]=37,=37,37,,,,,,,170,37
 fSumw[170]=36, x=13560,0]=36,=36,36,,,,,,,171,36
 fSumw[171]=29, x=13640,1]=29,=29,29,,,,,,,172,29
 fSumw[172]=40, x=13720,2]=40,=40,40,,,,,,,173,40
 fSumw[173]=23, x=13800,3]=23,=23,23,,,,,,,174,23
