Entries= 35203, Total sum= 15523,,,,,,,,,,,,
 fSumw[79]=113, x=6280,]=113,113,113,,,,,,,,80,113
 fSumw[80]=122, x=6360,]=122,122,122,,,,,,,,81,122
 fSumw[81]=118, x=6440,]=118,118,118,,,,,,,,82,118
 fSumw[82]=107, x=6520,]=107,107,107,,,,,,,,83,107
 fSumw[83]=73, x=6600,]=73,73,73,,,,,,,,84,73
 fSumw[84]=71, x=6680,]=71,71,71,,,,,,,,85,71
 fSumw[85]=98, x=6760,]=98,98,98,,,,,,,,86,98
 fSumw[86]=72, x=6840,]=72,72,72,,,,,,,,87,72
 fSumw[87]=54, x=6920,]=54,54,54,,,,,,,,88,54
 fSumw[88]=75, x=7000,]=75,75,75,,,,,,,,89,75
 fSumw[89]=58, x=7080,]=58,58,58,,,,,,,,90,58
 fSumw[90]=66, x=7160,]=66,66,66,,,,,,,,91,66
 fSumw[91]=50, x=7240,]=50,50,50,,,,,,,,92,50
 fSumw[92]=54, x=7320,]=54,54,54,,,,,,,,93,54
 fSumw[93]=66, x=7400,]=66,66,66,,,,,,,,94,66
 fSumw[94]=54, x=7480,]=54,54,54,,,,,,,,95,54
 fSumw[95]=59, x=7560,]=59,59,59,,,,,,,,96,59
 fSumw[96]=42, x=7640,]=42,42,42,,,,,,,,97,42
 fSumw[97]=49, x=7720,]=49,49,49,,,,,,,,98,49
 fSumw[98]=41, x=7800,]=41,41,41,,,,,,,,99,41
 fSumw[99]=41, x=7880,]=41,41,41,,,,,,,,100,41
 fSumw[100]=51, x=7960,0]=51,=51,51,,,,,,,,101,51
 fSumw[101]=40, x=8040,1]=40,=40,40,,,,,,,,102,40
 fSumw[102]=30, x=8120,2]=30,=30,30,,,,,,,,103,30
 fSumw[103]=36, x=8200,3]=36,=36,36,,,,,,,,104,36
 fSumw[104]=45, x=8280,4]=45,=45,45,,,,,,,,105,45
 fSumw[105]=35, x=8360,5]=35,=35,35,,,,,,,,106,35
 fSumw[106]=44, x=8440,6]=44,=44,44,,,,,,,,107,44
 fSumw[107]=33, x=8520,7]=33,=33,33,,,,,,,,108,33
 fSumw[108]=39, x=8600,8]=39,=39,39,,,,,,,,109,39
 fSumw[109]=40, x=8680,9]=40,=40,40,,,,,,,,110,40
 fSumw[110]=27, x=8760,0]=27,=27,27,,,,,,,,111,27
 fSumw[111]=26, x=8840,1]=26,=26,26,,,,,,,,112,26
 fSumw[112]=31, x=8920,2]=31,=31,31,,,,,,,,113,31
 fSumw[113]=30, x=9000,3]=30,=30,30,,,,,,,,114,30
 fSumw[114]=31, x=9080,4]=31,=31,31,,,,,,,,115,31
 fSumw[115]=35, x=9160,5]=35,=35,35,,,,,,,,116,35
 fSumw[116]=25, x=9240,6]=25,=25,25,,,,,,,,117,25
 fSumw[117]=32, x=9320,7]=32,=32,32,,,,,,,,118,32
 fSumw[118]=29, x=9400,8]=29,=29,29,,,,,,,,119,29
 fSumw[119]=31, x=9480,9]=31,=31,31,,,,,,,,120,31
 fSumw[120]=23, x=9560,0]=23,=23,23,,,,,,,,121,23
 fSumw[121]=33, x=9640,1]=33,=33,33,,,,,,,,122,33
 fSumw[122]=22, x=9720,2]=22,=22,22,,,,,,,,123,22
 fSumw[123]=26, x=9800,3]=26,=26,26,,,,,,,,124,26
 fSumw[124]=18, x=9880,4]=18,=18,18,,,,,,,,125,18
 fSumw[125]=36, x=9960,5]=36,=36,36,,,,,,,,126,36
 fSumw[126]=31, x=10040,6]=31,=31,31,,,,,,,,127,31
 fSumw[127]=34, x=10120,7]=34,=34,34,,,,,,,,128,34
 fSumw[128]=24, x=10200,8]=24,=24,24,,,,,,,,129,24
 fSumw[129]=21, x=10280,9]=21,=21,21,,,,,,,,130,21
 fSumw[130]=32, x=10360,0]=32,=32,32,,,,,,,,131,32
 fSumw[131]=19, x=10440,1]=19,=19,19,,,,,,,,132,19
 fSumw[132]=32, x=10520,2]=32,=32,32,,,,,,,,133,32
 fSumw[133]=23, x=10600,3]=23,=23,23,,,,,,,,134,23
 fSumw[134]=21, x=10680,4]=21,=21,21,,,,,,,,135,21
 fSumw[135]=29, x=10760,5]=29,=29,29,,,,,,,,136,29
 fSumw[136]=29, x=10840,6]=29,=29,29,,,,,,,,137,29
 fSumw[137]=26, x=10920,7]=26,=26,26,,,,,,,,138,26
 fSumw[138]=18, x=11000,8]=18,=18,18,,,,,,,,139,18
 fSumw[139]=20, x=11080,9]=20,=20,20,,,,,,,,140,20
 fSumw[140]=32, x=11160,0]=32,=32,32,,,,,,,,141,32
 fSumw[141]=33, x=11240,1]=33,=33,33,,,,,,,,142,33
 fSumw[142]=25, x=11320,2]=25,=25,25,,,,,,,,143,25
 fSumw[143]=29, x=11400,3]=29,=29,29,,,,,,,,144,29
 fSumw[144]=23, x=11480,4]=23,=23,23,,,,,,,,145,23
 fSumw[145]=16, x=11560,5]=16,=16,16,,,,,,,,146,16
 fSumw[146]=21, x=11640,6]=21,=21,21,,,,,,,,147,21
 fSumw[147]=24, x=11720,7]=24,=24,24,,,,,,,,148,24
 fSumw[148]=28, x=11800,8]=28,=28,28,,,,,,,,149,28
 fSumw[149]=24, x=11880,9]=24,=24,24,,,,,,,,150,24
 fSumw[150]=24, x=11960,0]=24,=24,24,,,,,,,,151,24
 fSumw[151]=24, x=12040,1]=24,=24,24,,,,,,,,152,24
