Entries= 19964, Total sum= 8131
 fSumw[332]=11, x=26520
 fSumw[333]=13, x=26600
 fSumw[334]=9, x=26680
 fSumw[335]=13, x=26760
 fSumw[336]=9, x=26840
 fSumw[337]=17, x=26920
 fSumw[338]=7, x=27000
 fSumw[339]=17, x=27080
 fSumw[340]=13, x=27160
 fSumw[341]=11, x=27240
 fSumw[342]=9, x=27320
 fSumw[343]=9, x=27400
 fSumw[344]=12, x=27480
 fSumw[345]=14, x=27560
 fSumw[346]=8, x=27640
 fSumw[347]=9, x=27720
 fSumw[348]=10, x=27800
 fSumw[349]=13, x=27880
 fSumw[350]=9, x=27960
 fSumw[351]=11, x=28040
 fSumw[352]=11, x=28120
 fSumw[353]=12, x=28200
 fSumw[354]=7, x=28280
 fSumw[355]=10, x=28360
 fSumw[356]=6, x=28440
 fSumw[357]=7, x=28520
 fSumw[358]=6, x=28600
 fSumw[359]=12, x=28680
 fSumw[360]=7, x=28760
 fSumw[361]=10, x=28840
 fSumw[362]=10, x=28920
 fSumw[363]=11, x=29000
 fSumw[364]=9, x=29080
 fSumw[365]=8, x=29160
 fSumw[366]=11, x=29240
 fSumw[367]=11, x=29320
 fSumw[368]=11, x=29400
 fSumw[369]=7, x=29480
 fSumw[370]=11, x=29560
 fSumw[371]=4, x=29640
 fSumw[372]=7, x=29720
 fSumw[373]=11, x=29800
 fSumw[374]=11, x=29880
 fSumw[375]=9, x=29960
 fSumw[376]=7, x=30040
 fSumw[377]=9, x=30120
 fSumw[378]=9, x=30200
 fSumw[379]=7, x=30280
 fSumw[380]=7, x=30360
 fSumw[381]=9, x=30440
 fSumw[382]=6, x=30520
 fSumw[383]=7, x=30600
 fSumw[384]=18, x=30680
 fSumw[385]=6, x=30760
 fSumw[386]=11, x=30840
 fSumw[387]=6, x=30920
 fSumw[388]=12, x=31000
 fSumw[389]=4, x=31080
 fSumw[390]=3, x=31160
 fSumw[391]=7, x=31240
 fSumw[392]=5, x=31320
 fSumw[393]=11, x=31400
 fSumw[394]=13, x=31480
 fSumw[395]=10, x=31560
 fSumw[396]=8, x=31640
 fSumw[397]=5, x=31720
 fSumw[398]=8, x=31800
 fSumw[399]=7, x=31880
 fSumw[400]=13, x=31960
 fSumw[401]=5, x=32040
 fSumw[402]=9, x=32120
 fSumw[403]=9, x=32200
 fSumw[404]=6, x=32280
